Frequency_(MHz),VSWR_FCA_1,VSWR_FCA_2,VSWR_FCA_3,VSWR_FCA_4,VSWR_FCA_5,VSWR_FCA_6,VSWR_FCA_7,VSWR_FCA_9,VSWR_FCA_10,VSWR_FCA_11,VSWR_FCA_12,VSWR_FCA_13,VSWR_FCA_14,VSWR_FCA_15
15.8,1.43,2.83,2.99,1.45,1.46,0,2.54,3.27,3.36,3.35,3.36,3.35,3.31,3.14
16.2,1.42,2.83,2.36,1.45,1.45,0,2.5,3.24,3.33,3.31,3.33,3.32,3.28,3.03
16.6,1.42,2.83,2.54,1.44,1.45,0,2.49,3.22,3.31,3.29,3.31,3.3,3.29,3.14
17,1.42,2.82,4.36,1.44,1.45,0,2.47,3.19,3.26,3.24,3.28,3.26,3.25,3.17
17.4,1.42,2.8,2.62,1.44,1.45,0,2.43,3.15,3.2,3.17,3.23,3.22,3.18,3.17
17.8,1.43,2.75,5.47,1.45,1.45,0,2.41,3.12,3.18,3.17,3.21,3.21,3.21,3.18
18.2,1.44,2.72,2.65,1.45,1.46,0,2.39,3.04,3.14,3.14,3.19,3.17,3.16,3.11
18.6,1.45,2.69,2.63,1.46,1.47,0,2.4,3.12,3.18,3.15,3.22,3.18,3.21,3.2
19,1.46,2.76,5.67,1.48,1.48,0,2.41,3.12,3.17,3.19,3.23,3.21,3.22,3.21
19.4,1.47,2.86,2.72,1.49,1.5,0,2.37,3.12,3.15,3.16,3.24,3.22,3.22,3.21
19.8,1.49,2.93,2.74,1.51,1.51,0,2.36,3.12,3.12,3.1,3.18,3.17,3.22,3.18
20.2,1.51,2.97,2.73,1.52,1.53,0,2.3,3.03,3.02,3.08,3.15,3.13,3.09,3.07
20.6,1.52,3,2.68,1.54,1.55,0,2.24,2.98,2.95,3.01,3.11,3.09,3.11,3.13
21,1.54,3.02,2.31,1.55,1.56,0,2.16,2.77,2.7,2.88,2.99,3.02,3.06,3.09
22,1.57,2.93,2.74,1.59,1.59,0,1.97,2.59,2.52,2.59,2.78,2.67,2.55,2.55
23,1.6,2.81,3.08,1.61,1.62,0,1.72,2.4,2.06,0,2.32,2.35,2.11,2.44
24,1.61,2.57,2.83,1.63,1.63,0,1.51,2.09,0,0,2,2.03,0,2.19
25,1.61,2.25,1.79,1.63,1.63,0,1.78,0,0,0,0,2.52,0,2.82
26,1.59,1.88,1.51,1.61,1.62,0,1.74,0,0,0,0,0,0,0
27,1.56,1.5,2.35,1.58,1.59,0,2.2,0,0,0,0,0,0,0
28,1.53,2.06,1.74,1.55,1.55,0,2.42,0,0,0,0,0,0,0
29,1.49,2.3,1.61,1.51,1.51,0,2.44,0,0,0,0,0,0,0
30,1.45,2.5,1.94,1.47,1.48,0,2.37,3.12,2.73,3.01,2.93,2.89,2.93,3.25
31,1.43,2.19,0,1.45,1.45,0,0,0,0,0,0,0,0,0
32,1.42,2.64,0,1.43,1.44,0,0,0,0,0,0,0,0,0
33,1.42,2.62,0,1.44,1.44,0,0,0,0,0,0,0,0,0
34,1.45,2.47,0,1.47,1.47,0,0,0,0,0,0,0,0,0
35,1.48,2.98,0,1.5,1.5,0,0,0,0,0,0,0,0,0
36,1.52,4.13,0,1.54,1.54,0,0,0,0,0,0,0,0,0
37,1.55,4.47,0,1.57,1.57,0,0,0,0,0,0,0,0,0
38,1.58,3.58,0,1.6,1.6,0,0,0,0,0,0,0,0,0
39,1.59,1.35,0,1.61,1.61,0,0,0,0,0,0,0,0,0
40,1.59,2.32,0,1.61,1.61,0,0,0,0,0,0,0,0,0
41,1.58,3.58,0,1.59,1.6,0,0,0,0,0,0,0,0,0
42,1.55,4.28,0,1.56,1.57,0,0,0,0,0,0,0,0,0
43,1.51,4.63,0,1.52,1.53,0,0,0,0,0,0,0,0,0
44,1.46,4.6,0,1.48,1.48,0,0,0,0,0,0,0,0,0
45,1.42,4.15,0,1.43,1.44,0,0,0,0,0,0,0,0,0
46,1.39,3.17,0,1.4,1.4,0,0,0,0,0,0,0,0,0
47,1.37,3.7,0,1.38,1.38,0,0,0,0,0,0,0,0,0
48,1.37,3.61,0,1.38,1.38,0,0,0,0,0,0,0,0,0
49,1.39,3.83,0,1.39,1.4,0,0,0,0,0,0,0,0,0
50,1.42,3.77,0,1.42,1.43,0,0,0,0,0,0,0,0,0
52,1.48,3.78,0,1.49,1.49,0,0,0,0,0,0,0,0,0
