Frequency_(MHz),VSWR_Test_1,VSWR_Test_1a,VSWR_Test_2,VSWR_Test_3,VSWR_Test_4,VSWR_Test_5,VSWR_Test_6,VSWR_Test_7,VSWR_Test_8,VSWR_Test_9,VSWR_Test_10,VSWR_Test_11,VSWR_Test_12,VSWR_Test_13,VSWR_Test_14,VSWR_Test_15,VSWR_Test_16
65.20,0.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.48,4.10,4.24,7.19,0.00,0.00
67.04,0.00,0.00,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.95,8.36,8.27,9.11,0.00,0.00
68.92,0.00,0.00,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.06,5.90,5.99,6.01,0.00,0.00
70.86,0.00,0.00,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.30,5.44,5.82,7.42,0.00,0.00
72.85,0.00,0.00,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.41,4.26,3.62,3.91,0.00,0.00
74.90,0.00,0.00,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.22,5.30,5.50,6.01,0.00,0.00
77.01,0.00,0.00,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,5.67,4.20,4.50,0.00,0.00
79.17,0.00,0.00,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.85,7.68,4.63,5.02,0.00,0.00
81.40,0.00,0.00,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.98,7.22,7.09,8.05,0.00,0.00
83.68,0.00,0.00,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.64,10.45,9.70,11.32,0.00,0.00
86.04,0.00,0.00,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.11,13.61,11.76,13.60,0.00,0.00
88.46,0.00,0.00,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.23,11.36,9.47,10.91,0.00,0.00
90.94,0.00,0.00,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.17,7.82,6.82,7.61,0.00,0.00
93.50,0.00,0.00,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.29,6.60,6.08,6.71,0.00,0.00
96.13,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.40,6.28,5.25,5.73,0.00,0.00
98.83,0.00,0.00,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,6.26,6.94,7.85,0.00,0.00
100.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.63,6.53,6.76,7.69,0.00,0.00
101.69,0.00,0.00,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.12,4.36,4.07,4.46,0.00,0.00
104.47,0.00,0.00,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,4.35,4.05,4.44,0.00,0.00
107.40,0.00,0.00,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.27,7.08,6.57,7.40,0.00,0.00
110.42,0.00,0.00,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,5.53,4.71,5.20,0.00,0.00
113.53,0.00,0.00,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.74,4.24,4.64,5.11,0.00,0.00
116.72,0.00,0.00,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.30,4.88,5.44,6.07,0.00,0.00
120.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,4.89,3.55,5.22,0.00,0.00
123.37,0.00,0.00,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.28,7.90,7.89,9.09,0.00,0.00
126.84,0.00,0.00,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.48,5.63,5.59,6.26,0.00,0.00
130.41,0.00,0.00,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78,4.87,4.48,4.94,0.00,0.00
134.07,0.00,0.00,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,6.02,5.87,6.33,0.00,0.00
137.84,0.00,0.00,1.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.09,5.20,6.01,6.72,0.00,0.00
141.72,0.00,0.00,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.01,4.04,6.28,7.22,0.00,0.00
145.70,0.00,0.00,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.58,2.58,1.48,1.47,0.00,0.00
149.80,0.00,0.00,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.20,1.79,2.32,2.49,0.00,0.00
154.01,0.00,0.00,1.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.75,1.45,1.53,1.60,0.00,0.00
158.34,0.00,0.00,1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.10,3.18,3.89,4.29,0.00,0.00
